"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS15710","gene-SAUSA300_RS15710",0,0,0,0,2,0
"gene-SAUSA300_RS00790","gene-SAUSA300_RS00790",0,2,0,1,3,3
"gene-SAUSA300_RS15720","gene-SAUSA300_RS15720",17,10,8,8,6,29
"gene-SAUSA300_RS00800","gene-SAUSA300_RS00800",537,630,539,261,282,228
"gene-SAUSA300_RS00805","gene-SAUSA300_RS00805",0,0,0,0,3,2
"gene-SAUSA300_RS00810","gene-SAUSA300_RS00810",5,0,4,0,2,4
"gene-SAUSA300_RS00815","gene-SAUSA300_RS00815",1,2,0,0,0,0
"gene-SAUSA300_RS00820","gene-SAUSA300_RS00820",0,2,0,4,2,3
"gene-SAUSA300_RS00825","gene-SAUSA300_RS00825",0,0,0,0,0,2
"gene-SAUSA300_RS00830","gene-SAUSA300_RS00830",4,0,4,0,3,4
"gene-SAUSA300_RS00835","gene-SAUSA300_RS00835",2,4,0,8,0,2
"gene-SAUSA300_RS00840","gene-SAUSA300_RS00840",0,0,0,6,0,3
"gene-SAUSA300_RS00845","gene-SAUSA300_RS00845",2,2,2,0,0,0
"gene-SAUSA300_RS00850","gene-SAUSA300_RS00850",0,0,0,2,2,0
"gene-SAUSA300_RS00855","gene-SAUSA300_RS00855",0,0,0,0,0,0
"gene-SAUSA300_RS00860","gene-SAUSA300_RS00860",2,2,2,6,4,0
"gene-SAUSA300_RS00865","gene-SAUSA300_RS00865",0,4,2,2,6,0
"gene-SAUSA300_RS00870","gene-SAUSA300_RS00870",4,4,0,3,4,5
"gene-SAUSA300_RS00875","gene-SAUSA300_RS00875",3,2,3,5,4,10
"gene-SAUSA300_RS00880","gene-SAUSA300_RS00880",12,6,3,6,14,4
"gene-SAUSA300_RS00885","gene-SAUSA300_RS00885",0,2,1,2,2,0
"gene-SAUSA300_RS00890","gene-SAUSA300_RS00890",0,3,0,3,6,1
"gene-SAUSA300_RS00895","gene-SAUSA300_RS00895",229,252,306,237,164,187
"gene-SAUSA300_RS00900","gene-SAUSA300_RS00900",2,14,14,23,14,18
"gene-SAUSA300_RS00905","gene-SAUSA300_RS00905",0,1,0,0,0,0
"gene-SAUSA300_RS00910","gene-SAUSA300_RS00910",26,11,21,13,14,21
"gene-SAUSA300_RS00915","gene-SAUSA300_RS00915",19,42,22,10,10,23
"gene-SAUSA300_RS00920","gene-SAUSA300_RS00920",32,39,30,22,21,5
"gene-SAUSA300_RS00925","gene-SAUSA300_RS00925",49,60,45,10,24,13
"gene-SAUSA300_RS00930","gene-SAUSA300_RS00930",113,86,68,16,20,15
"gene-SAUSA300_RS00935","gene-SAUSA300_RS00935",97,87,51,96,124,139
"gene-SAUSA300_RS00940","gene-SAUSA300_RS00940",4,16,4,6,12,6
"gene-SAUSA300_RS00945","gene-SAUSA300_RS00945",34,22,22,31,34,36
"gene-SAUSA300_RS00950","gene-SAUSA300_RS00950",2215,2227,2831,889,1007,907
"gene-SAUSA300_RS00955","gene-SAUSA300_RS00955",271,249,424,87,95,80
"gene-SAUSA300_RS00960","gene-SAUSA300_RS00960",63,60,39,206,188,202
"gene-SAUSA300_RS00965","gene-SAUSA300_RS00965",2,5,4,3,2,0
"gene-SAUSA300_RS00970","gene-SAUSA300_RS00970",0,5,2,0,6,2
"gene-SAUSA300_RS00975","gene-SAUSA300_RS00975",0,0,2,2,0,0
"gene-SAUSA300_RS00980","gene-SAUSA300_RS00980",0,4,6,4,0,0
"gene-SAUSA300_RS00985","gene-SAUSA300_RS00985",42,36,30,56,48,41
"gene-SAUSA300_RS00990","gene-SAUSA300_RS00990",48,38,49,30,33,24
"gene-SAUSA300_RS00995","gene-SAUSA300_RS00995",219,191,212,75,82,58
"gene-SAUSA300_RS01000","gene-SAUSA300_RS01000",0,0,0,0,0,0
"gene-SAUSA300_RS01005","gene-SAUSA300_RS01005",80,78,70,32,32,24
"gene-SAUSA300_RS01010","gene-SAUSA300_RS01010",329,257,297,73,96,76
"gene-SAUSA300_RS01015","gene-SAUSA300_RS01015",160,118,150,47,38,54
"gene-SAUSA300_RS01020","gene-SAUSA300_RS01020",72,92,111,30,46,30
"gene-SAUSA300_RS01025","gene-SAUSA300_RS01025",54,36,79,19,6,7
"gene-SAUSA300_RS01030","gene-SAUSA300_RS01030",2,0,2,0,4,4
"gene-SAUSA300_RS01035","gene-SAUSA300_RS01035",6,14,18,2,6,11
"gene-SAUSA300_RS01040","gene-SAUSA300_RS01040",10,9,2,9,8,18
"gene-SAUSA300_RS01045","gene-SAUSA300_RS01045",6,4,2,10,4,6
"gene-SAUSA300_RS01050","gene-SAUSA300_RS01050",2,2,8,13,9,9
"gene-SAUSA300_RS01055","gene-SAUSA300_RS01055",29,16,19,8,10,8
"gene-SAUSA300_RS01060","gene-SAUSA300_RS01060",4,2,0,0,2,0
"gene-SAUSA300_RS01065","gene-SAUSA300_RS01065",0,2,0,0,2,0
"gene-SAUSA300_RS01070","gene-SAUSA300_RS01070",6,7,18,7,3,2
"gene-SAUSA300_RS01075","gene-SAUSA300_RS01075",10,6,6,6,8,2
"gene-SAUSA300_RS01080","gene-SAUSA300_RS01080",0,0,0,0,0,6
"gene-SAUSA300_RS01085","gene-SAUSA300_RS01085",6,10,6,14,14,18
